batch_size,structural_ratio,sublayer_count,read_load_hz,shadow_index_commit_ms,accumulated_layer_size,n_writes,write_lock_ms_median,write_lock_ms_max,pcp_rebuild_p50_ms,pcp_rebuild_p95_ms,pcp_rebuild_p99_ms,p95_concurrent_read_stall_ms,achieved_reader_hz,n_concurrent_samples,n_post_write_samples,n_total_samples,setup_sec,run_sec
1000,0.0,20,60,50,0,5,70.97870000143303,76.12630000221543,0.06739999662386253,0.14707999798702068,0.16931600112002346,65.83799999498297,53.599772931808545,5,145,154,0.021292799996444955,3.2731465000033495
1000,0.0,20,60,50,100000,5,202.0159000021522,206.30560000427067,0.5929000035393983,0.8621199987828729,0.9997560014016926,198.54637999960687,42.76188647886164,5,145,150,0.9456898999997065,3.9077965999968
1000,1.0,1,60,5,0,5,18.640999995113816,20.968400000128895,0.06439999560825527,0.15050000220071524,0.1990119955735283,13.182694998249644,59.20020826161205,4,149,154,0.003601700002036523,3.0013422000047285
1000,1.0,1,60,5,100000,5,146.05769999616314,156.8018000034499,0.5585000035353005,0.8116600001812913,0.9321520026423971,149.16233999974793,46.28151620841331,5,145,150,0.9174975000059931,3.641034699998272
1000,1.0,1,60,50,0,5,63.06070000573527,64.44270000065444,0.06399999983841553,0.15125999634619802,0.17530399927636608,57.78711999737425,54.00180937820028,5,145,153,0.00334840000141412,3.2332384000037564
1000,1.0,1,60,50,100000,5,201.64749999821652,209.35939999617403,0.5713999998988584,0.8279400033643468,0.9007919987197966,204.26920000463724,42.80210790680608,5,145,150,0.9708969999992405,3.9045002999991993
1000,1.0,20,60,5,0,5,18.073399995046202,21.868800002266653,0.0866999980644323,0.1436800041119568,0.20359199610538786,13.251199999649543,59.594838148860255,5,149,155,0.022574899994651787,3.0008964000007836
1000,1.0,20,60,5,100000,5,158.58399999706307,167.8920999984257,0.6085000059101731,0.8852800005115566,0.958431999606546,161.19005999789806,45.385511341093824,5,145,150,1.049499900000228,3.7050195000047097
1000,1.0,20,60,50,0,5,63.00819999887608,69.35789999988629,0.09950000094249845,0.15534000413026658,0.20292399916797885,62.50612000003457,53.514819689020115,5,145,151,0.023873999998613726,3.2216482999938307
1000,1.0,20,60,50,100000,5,196.03929999721004,224.04780000215396,0.6374999938998371,0.8787600032519548,0.9481120019336231,217.06455999810714,42.48164998049656,5,145,150,1.0199312999975518,3.9309362999993027
