iteration,writer_exception,reader_exception,assertions_ok,save_ms,traverse_latency_ms,prims_traversed
739,,,True,108.05,82.6,32400
740,,,True,107.71,83.84,32410
741,,,True,96.45,77.82,32420
742,,,True,90.39,81.77,32430
743,,,True,117.44,87.02,32440
744,,,True,110.19,81.86,32450
745,,,True,139.73,86.71,32460
746,,,True,131.0,82.81,32470
747,,,True,113.36,82.4,32480
748,,,True,105.37,75.83,32490
749,,,True,92.32,73.97,32500
750,,,True,105.25,81.49,32510
751,,,True,91.49,84.81,32520
752,,,True,90.76,82.41,32530
753,,,True,96.59,79.59,32540
754,,,True,100.13,75.02,32550
755,,,True,93.19,87.08,32560
756,,,True,95.78,80.41,32570
757,,,True,104.13,78.59,32580
758,,,True,128.7,85.58,32590
759,,,True,98.91,80.35,32600
760,,,True,100.64,80.85,32610
761,,,True,103.32,70.98,32620
762,,,True,89.36,88.7,32630
763,,,True,99.16,86.19,32640
764,,,True,122.07,81.95,32650
765,,,True,103.7,89.62,32660
766,,,True,100.69,81.73,32670
767,,,True,105.07,85.15,32680
768,,,True,122.37,91.35,32690
769,,,True,125.91,89.74,32700
770,,,True,95.36,75.6,32710
771,,,True,100.94,84.42,32720
772,,,True,110.61,90.24,32730
773,,,True,100.08,81.94,32740
774,,,True,128.05,90.85,32750
775,,,True,93.76,74.88,32760
776,,,True,102.14,91.37,32770
777,,,True,121.79,84.44,32780
778,,,True,111.31,94.88,32790
779,,,True,104.26,75.71,32800
780,,,True,99.85,87.87,32810
781,,,True,99.71,84.08,32820
782,,,True,73.92,80.48,32830
783,,,True,93.03,83.0,32840
784,,,True,109.12,76.71,32850
785,,,True,93.6,90.57,32860
786,,,True,106.28,89.61,32870
787,,,True,110.97,83.69,32880
788,,,True,97.64,82.52,32890
789,,,True,95.61,81.36,32900
790,,,True,114.63,88.13,32910
791,,,True,101.01,88.36,32920
792,,,True,109.59,85.58,32930
793,,,True,112.08,86.16,32940
794,,,True,100.87,85.57,32950
795,,,True,101.78,81.07,32960
796,,,True,98.1,84.02,32970
797,,,True,108.32,82.32,32980
798,,,True,117.66,87.19,32990
799,,,True,98.42,85.16,33000
800,,,True,103.78,81.9,33010
801,,,True,120.33,89.33,33020
802,,,True,112.75,80.67,33030
803,,,True,101.16,84.1,33040
804,,,True,117.46,79.93,33050
805,,,True,97.87,89.24,33060
806,,,True,85.01,83.42,33070
807,,,True,122.63,174.72,33080
808,,,True,94.86,94.59,33090
809,,,True,98.31,84.41,33100
810,,,True,92.86,86.51,33110
811,,,True,106.53,92.62,33120
812,,,True,118.27,91.11,33130
813,,,True,89.13,85.15,33140
814,,,True,97.53,95.46,33150
